x,y,image,r,g,b,clear
448,128,0,96,224,64,0
480,128,0,96,224,64,0
512,128,0,96,224,64,0
480,160,0,96,224,64,0
448,160,0,96,224,64,0
416,160,0,96,224,64,0
384,160,0,96,224,64,0
352,160,0,96,224,64,0
320,160,0,96,224,64,0
288,160,0,96,224,64,0
320,192,0,96,224,64,0
352,192,0,96,224,64,0
384,192,0,96,224,64,0
416,192,0,96,224,64,0
416,224,0,96,224,64,0
384,224,0,96,224,64,0
352,224,0,96,224,64,0
384,256,0,96,224,64,0
416,256,0,96,224,64,0
416,288,0,96,224,64,0
384,288,0,96,224,64,0
416,320,0,96,224,64,0
448,320,0,96,224,64,0
448,352,0,96,224,64,0
256,320,0,96,224,64,0
256,288,0,96,224,64,0
224,288,0,96,224,64,0
224,256,0,96,224,64,0
224,320,0,96,224,64,0
224,352,0,96,224,64,0
224,384,0,96,224,64,0
256,384,0,96,224,64,0
256,416,0,96,224,64,0
256,352,0,96,224,64,0
224,416,0,96,224,64,0
288,416,0,96,224,64,0
288,448,0,96,224,64,0
320,416,0,96,224,64,0
288,384,0,96,224,64,0
288,352,0,96,224,64,0
256,448,0,96,224,64,0
320,448,0,96,224,64,0
352,448,0,96,224,64,0
512,448,0,96,224,64,0
544,448,0,96,224,64,0
576,448,0,96,224,64,0
576,416,0,96,224,64,0
608,416,0,96,224,64,0
640,416,0,96,224,64,0
640,448,0,96,224,64,0
608,448,0,96,224,64,0
672,448,0,96,224,64,0
672,416,0,96,224,64,0
672,384,0,96,224,64,0
672,352,0,96,224,64,0
672,320,0,96,224,64,0
672,288,0,96,224,64,0
672,256,0,96,224,64,0
672,224,0,96,224,64,0
640,224,0,96,224,64,0
608,224,0,96,224,64,0
608,256,0,96,224,64,0
576,256,0,96,224,64,0
576,224,0,96,224,64,0
544,256,0,96,224,64,0
640,256,0,96,224,64,0
640,288,0,96,224,64,0
640,320,0,96,224,64,0
640,352,0,96,224,64,0
640,384,0,96,224,64,0
608,384,0,96,224,64,0
608,352,0,96,224,64,0
608,320,0,96,224,64,0
608,288,0,96,224,64,0
544,416,0,96,224,64,0
